model,model_size,snr,n,wer,cer,ter_simple,der_simple,fcer_simple,swdr_simple
phowhisper,tiny,20,300,0.11430437622468975,0.05008102477042982,0.07609405617243632,0.023639774859287054,0.06803170409511229,0.005319148936170213
phowhisper,tiny,10,300,0.1404310907903331,0.06975846901767112,0.09503592423252775,0.031493001555209954,0.08586525759577279,0.0035460992907801418
phowhisper,tiny,5,300,0.19431743958197256,0.106644031175245,0.14761593729588504,0.05456800330715172,0.1155878467635403,0.0070921985815602835
phowhisper,tiny,0,300,0.36610058785107774,0.2244000308665792,0.28977458346945445,0.1597661958110083,0.21598414795244386,0.010638297872340425
phowhisper,tiny,noisy_all,1200,0.2037883736120183,0.1127208889574813,0.15211888625785908,0.06221032032135132,0.1213672391017173,0.006648936170212766
phowhisper,tiny,all,1500,0.1830176355323318,0.09866502044910873,0.13436540597034424,0.052627337201805284,0.10845442536327608,0.006028368794326241
phowhisper,base,clean,300,0.08066623122142391,0.0365768963654603,0.05747877204441541,0.014593214155417731,0.03830911492734478,0.005319148936170213
phowhisper,base,20,300,0.0852384062704115,0.03796589242997145,0.05878510777269758,0.016825164594001463,0.042932628797886396,0.0070921985815602835
phowhisper,base,10,300,0.10418027433050293,0.05239601821128174,0.07315480078380143,0.02126865671641791,0.0548216644649934,0.005319148936170213
phowhisper,base,5,300,0.15284128020901372,0.08488309283123698,0.10450685826257348,0.03792025019546521,0.08718626155878467,0.008865248226950355
phowhisper,base,0,300,0.24983670803396474,0.15317539933636853,0.20215545395166556,0.07815989280928987,0.16248348745046234,0.005319148936170213
phowhisper,base,noisy_all,1200,0.14802416721097322,0.08210510070221468,0.10965055519268452,0.036725100381941045,0.0868560105680317,0.006648936170212766
phowhisper,base,all,1500,0.13455258001306336,0.0729994598348638,0.0992161985630307,0.032041383570105005,0.07714663143989432,0.006382978723404255
phowhisper,small,clean,300,0.06335728282168518,0.02832008642642179,0.05421293272370999,0.013928571428571429,0.029722589167767502,0.005319148936170213
phowhisper,small,20,300,0.0659699542782495,0.03032641407516012,0.05258001306335728,0.013590844062947067,0.035667107001321,0.005319148936170213
phowhisper,small,10,300,0.0689092096668844,0.030403580523188516,0.05094709340300457,0.013644524236983842,0.03302509907529723,0.005319148936170213
phowhisper,small,5,300,0.09209666884389288,0.04529670499266919,0.06760287393860222,0.016741071428571428,0.056142668428005284,0.0070921985815602835
phowhisper,small,0,300,0.14435009797517961,0.08009877305347635,0.09634225996080993,0.030408006158583526,0.08982826948480846,0.008865248226950355
phowhisper,small,noisy_all,1200,0.0928314826910516,0.04653136816112354,0.0668680600914435,0.018404343425048313,0.053665785997357995,0.006648936170212766
phowhisper,small,all,1500,0.08693664271717831,0.042889111814183194,0.0643370346178968,0.01748737835662545,0.0488771466314399,0.006382978723404255
